Start,End,Lobbyist,Client,Industry,Cluster
2011-08-17,2012-08-16,Travis Phillips,"Connolly, III, James, D., (Trey) and Steve Rambo",Property Owner,311
2011-08-17,2012-08-16,Travis Phillips,Contessa Gallery,Property Owner,307
2011-08-17,2012-08-16,Travis Phillips,Criterion Development Partners,Land Development Company,312
2011-08-17,2012-08-16,Travis Phillips,Dennis Fagan Still and Moving Pictures,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,Elan Hair Salon,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,Estilio Valdez Salon,Property Owner,318
2011-08-17,2012-08-16,Travis Phillips,Fine Line Diversified Development,Real Estate,628
2011-08-17,2012-08-16,Travis Phillips,Fotowatio Renewable Ventures,Solar Power Company,313
2011-08-17,2012-08-16,Travis Phillips,Franzetti Jewelers,Property Owner,306
2011-08-17,2012-08-16,Travis Phillips,Garden Room,Property Owner,725
2011-08-17,2012-08-16,Travis Phillips,Gemini Solar Development,Solar Power Company,634
2011-08-17,2012-08-16,Travis Phillips,Steve Greenberg,Retail Sales,314
2011-08-17,2012-08-16,Travis Phillips,Grubb and Ellis Realty Investors,Real Property Owner,315
2011-08-17,2012-08-16,Travis Phillips,"Highland Park West, Limited",Neighborhood Association,316
2011-08-17,2012-08-16,Travis Phillips,Kerbey Lane Cafe,Property Owner,305
2011-08-17,2012-08-16,Travis Phillips,Monocoque Diversified Interests,Real Property Owner,317
2011-08-17,2012-08-16,Travis Phillips,Lee's Meat Market,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,Leveland Homes,Property Owner,319
2011-08-17,2012-08-16,Travis Phillips,"Liemandt, Joseph and Andra",Real Property Owner,625
2011-08-17,2012-08-16,Travis Phillips,"Lorenz, Perry",Property Owner,320
2011-08-17,2012-08-16,Travis Phillips,LUCE,Developer,321
2011-08-17,2012-08-16,Travis Phillips,Magic Carpet,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,Peter T. Martin and Kevin McNeil Martin and Martin Law,Property Owner,322
2011-08-17,2012-08-16,Travis Phillips,Antolin Aguirre,Mobile Vending,613
2011-08-17,2012-08-16,Travis Phillips,Eanes Community Alliance,Community Association,323
